Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime (yrs.)
USA,Hera Systems,Commercial,Earth Observation,LEO,Non-Polar Inclined,0,566,576,1.51E-03,36.9,96.08,22,11/12/2019,0.5
United Kingdom,AAC Clyde Space,Commercial,Earth Observation,LEO,Sun-Synchronous,0,637,654,1.51E-03,98,95,4,3/1/2023,
Finland,Aalto University,Civil,Technology Development,LEO,Sun-Synchronous,0,497,517,1.45E-03,97.45,94.7,5,23/6/2017,2
Denmark,University of Aalborg,Civil,Earth Observation,LEO,Sun-Synchronous,0,442,687,1.51E-03,98.2,95.9,1,25/4/2016,
Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,,75,"35,778","35,793",1.78E-04,0.08,1436.03,"6,330",6/2/2014,15
Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,,-75,"35,700","35,700",0.00E+00,0,1436.1,"1,800",15/6/2016,15
Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,,-3,"35,788","35,803",1.78E-04,0.1,1436,"2,000",2/3/2015,15
Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,,75,"35,780","35,793",1.54E-04,0.01,1436.1,"4,143",13/3/2004,12
Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,,159,"35,777","35,794",2.02E-04,0.01,1436.08,"2,894",26/9/1999,15
Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,LEO,Sun-Synchronous,0,538,561,1.66E-03,97.5,95.5,9,22/3/2021,
Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,LEO,Sun-Synchronous,0,539,599,4.32E-03,97.5,95.5,9,22/3/2021,
Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,LEO,Sun-Synchronous,0,537,561,1.73E-03,97.5,95.5,9,22/3/2021,
Austria,Austrian Space Forum (OEWF)/Spire,Civil,Earth Science,LEO,Sun-Synchronous,0,497,506,6.55E-04,97.4,95,12,15/4/2023,
USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,,0,"35,700","35,800",1.19E-03,0,1437.6,"5,400",11/12/2020,
USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,,-26,"35,560","36,013",5.37E-03,7.72,1436.14,"5,200",9/5/1998,
USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,,68,"35,589","35,984",4.68E-03,3.2,1436.1,"5,200",9/9/2003,
USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,,44,"35,714","35,937",2.64E-03,2.89,1438.8,"5,400",18/1/2009,
USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,,95,"35,500","35,500",0.00E+00,0,1436,"5,000",21/11/2010,
USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,,60,"35,771","35,805",4.03E-04,0,1436.1,"5,000",29/6/2012,
USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,,102.6,"35,613","35,903",3.44E-03,7.51,1437.19,"5,000",11/6/2016,
USA,US Air Force,Military,Communications,GEO,,152.1,"35,700","35,803",1.22E-03,4.2,1436.1,"6,169",18/9/2013,14
USA,US Air Force,Military,Communications,GEO,,150.2,"35,781","35,790",1.07E-04,0.05,1436.1,"6,169",17/10/2018,
USA,US Air Force,Military,Communications,GEO,,-94.39,"35,780","35,810",3.56E-04,6.4,1436.2,"6,169",8/8/2019,
USA,US Air Force ,Military,Communications,GEO,,0,"35,780","35,780",0.00E+00,0,1436,"6,169",26/3/2020,
USA,US Air Force,Military,Communications,GEO,,-120,"35,772","35,801",3.44E-04,2.34,1436.1,"6,169",3/5/2012,14
USA,Department of Homeland Security,Government,Technology Development,LEO,Equatorial,0,480,790,2.21E-02,0.02,97.4,3,13/9/2012,
ESA,European Space Agency (ESA),Government,Earth Observation,LEO,,0,314,317,2.24E-04,96.7,92.4,"1,367",22/8/2018,3
USA,Aerospace Corporation,Commercial,Technology Development,LEO,Polar,0,495,511,1.16E-03,85.03,94.6,4,17/12/2018,
USA,Aerospace Corporation,Commercial,Technology Development,LEO,Polar,0,492,511,1.38E-03,85.3,94.6,4,17/12/2018,
USA,Aerospace Corporation,Commercial,Technology Development,LEO,Non-Polar Inclined,0,481,487,4.38E-04,51.6,94.2,4,16/7/2018,
USA,Aerospace Corporation,Commercial,Technology Development,LEO,Non-Polar Inclined,0,481,487,4.38E-04,51.6,94.2,4,16/7/2018,
USA,Aerospace Corporation,Military,Technology Development,LEO,Non-Polar Inclined,0,459,474,1.10E-03,51.6,93.9,,31/1/2020,
USA,Aerospace Corporation,Military,Technology Development,LEO,Non-Polar Inclined,0,459,474,1.10E-03,51.6,93.9,,31/1/2020,
USA,Aerospace Corporation,Military,Technology Development,LEO,Non-Polar Inclined,0,458,474,1.17E-03,51.6,93.9,,31/1/2020,
USA,Aerospace Corporation,Commercial,Technology Development,LEO,Non-Polar Inclined,0,500,802,2.15E-02,64.78,97.74,2,8/10/2015,
USA,Aerospace Corporation,Commercial,Technology Development,LEO,Sun-Synchronous,0,614,700,6.12E-03,97.98,97.88,5,19/6/2014,3
USA,Aerospace Corporation,Commercial,Technology Development,LEO,Sun-Synchronous,0,614,700,6.12E-03,97.98,97.88,5,19/6/2014,3
USA,Aerospace Corporation,Commercial,Technology Development,LEO,Non-Polar Inclined,0,500,802,2.15E-02,64.6,97.4,2,8/10/2015,
USA,Aerospace Corporation,Commercial,Technology Development,LEO,Sun-Synchronous,0,569,584,1.08E-03,97.9,96.2,5,11/11/2016,
USA,Aerospace Corporation,Commercial,Technology Development,LEO,Sun-Synchronous,0,572,584,8.64E-04,98,96.23,2,11/11/2016,
Multinational,EUTELSAT S.A.,Commercial,Communications,GEO,,48.00,"35,764","35,808",5.22E-04,0.12,1436.08,"3,460",20/12/2008,15
Lithuania,Aurora Insight,Commercial,Communications,LEO,Sun-Synchronous,0,609,613,2.86E-04,97.8,95.8,9,29/4/2021,
Lithuania,Aurora Insight,Commercial,Communications,LEO,Sun-Synchronous,0,522,535,9.42E-04,97.5,95.2,9,24/1/2021,
USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,LEO,Sun-Synchronous,0,544,552,5.78E-04,97.9,96.2,215,25/4/2007,2
Norway,Norwegian Coastal Admnistration,Government,Communications,LEO,Sun-Synchronous,0,615,632,1.22E-03,98,97.2,6,12/7/2010,3
Norway,Norwegian Coastal Admnistration,Government,Communications,LEO,Sun-Synchronous,0,625,631,4.29E-04,98.4,97.27,6,8/7/2014,3
Spain,AISTech,Commercial,Earth Observation,LEO,Sun-Synchronous,0,574,592,1.29E-03,97.8,96.4,3,3/12/2018,
Spain,AISTech,Commercial,Earth Observation,LEO,Sun-Synchronous,0,490,506,1.16E-03,97.5,94.6,2,1/4/2019,
United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,GEO,,-20,"35,777","35,796",2.25E-04,0,1436,"3,795",25/1/2018,15
Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,LEO,Sun-Synchronous,0,573,589,1.15E-03,97.7,96.2,4,3/12/2018,
Algeria,Algerian Space Agency (ASAL),Government,Communications,GEO,,-24.8,"35,744","35,798",6.41E-04,0.04,1436.1,"5,225",10/12/2017,15
Japan,Astro Live Experiences,Commercial,Earth Science,LEO,Sun-Synchronous,0,397,414,1.25E-03,97.01,92.06,75,6/12/2019,
Brazil,University of Brasilia,Civil,Technology Development,LEO,Sun-Synchronous,0,499,511,5.11E+02,97.4,95,1,1/4/2022,
USA,US Air Force Institute of Technology,Military,Technology Development,LEO,Polar,0,443,886,3.15E-02,120.3,98,5,6/12/2013,
Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,Sun-Synchronous,0,661,704,3.05E-03,98.2,98.4,103,26/9/2016,5
Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,LEO,Sun-Synchronous,0,661,698,2.62E-03,98.2,98.3,10,26/9/2016,
Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,Sun-Synchronous,0,672,674,1.42E-04,98.1,98.2,130,12/7/2010,5
Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,LEO,Sun-Synchronous,0,646,660,9.97E-04,98.2,97.7,117,26/9/2016,5
Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,,-61,"35,767","35,805",4.51E-04,0.03,1436.08,"5,465",1/10/2009,15
Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,,-61,"35,781","35,791",1.19E-04,0.03,1436.05,"6,265",7/2/2013,15
Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,,-61,"35,784","35,795",1.30E-04,0.08,1436.24,"2,938",22/3/2014,15
Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,,-61,"35,785","35,789",4.74E-05,0.04,1436.11,"5,900",12/9/2017,15
Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,,-60.97,"35,777","35,797",2.37E-04,0.02,1436.15,"4,000",7/2/2023,
Brazil,National Institute for Space Research (INPE),Government,Earth Observation,LEO,Sun-Synchronous,0,761,764,2.10E-04,98.5,99.9,637,28/2/2021,4
